sex,movement,agility_total_time_seconds,agility_avg_time_seconds,delta_total_average,source,name,hold out
Women,Pro Agility,4.848,4.94,-1.9,30 Jun 2025 Canadian Box Showcase: VALD Combine Results,Alpha November Tango Romeo,0
Women,Pro Agility,5.019,5.061,-0.8,30 Jun 2025 Canadian Box Showcase: VALD Combine Results,Alpha November Bravo November,0
Women,Pro Agility,4.881,4.91,-0.6,30 Jun 2025 Canadian Box Showcase: VALD Combine Results,Alpha Alpha Tango Yankee,0
Women,Pro Agility,4.894,4.946,-1.1,30 Jun 2025 Canadian Box Showcase: VALD Combine Results,Bravo Echo Romeo Echo,0
Women,Pro Agility,5.075,5.047,0.6,30 Jun 2025 Canadian Box Showcase: VALD Combine Results,Charlie Echo Lima Golf,0
Women,Pro Agility,5.094,5.053,0.8,30 Jun 2025 Canadian Box Showcase: VALD Combine Results,Echo Hotel Hotel Romeo,0
Women,Pro Agility,5.377,5.312,1.2,30 Jun 2025 Canadian Box Showcase: VALD Combine Results,Echo November Charlie November,0
Women,Pro Agility,4.826,4.78,1,30 Jun 2025 Canadian Box Showcase: VALD Combine Results,Echo Alpha Kilo Yankee,0
Women,Pro Agility,4.807,4.812,-0.1,30 Jun 2025 Canadian Box Showcase: VALD Combine Results,Hotel Hotel Mike November,0
Women,Pro Agility,4.872,4.923,-1,30 Jun 2025 Canadian Box Showcase: VALD Combine Results,Hotel Yankee Alpha Golf,0
Women,Pro Agility,5.339,5.344,-0.1,30 Jun 2025 Canadian Box Showcase: VALD Combine Results,Juliett Echo Tango Tango,0
Women,Pro Agility,4.971,5.062,-1.8,30 Jun 2025 Canadian Box Showcase: VALD Combine Results,Kilo Alpha Charlie Delta,0
Women,Pro Agility,5.563,5.818,-4.4,30 Jun 2025 Canadian Box Showcase: VALD Combine Results,Kilo Alpha November November,0
Women,Pro Agility,5.081,5.047,0.7,30 Jun 2025 Canadian Box Showcase: VALD Combine Results,Lima Alpha Delta Echo,0
Women,Pro Agility,4.989,5.015,-0.5,30 Jun 2025 Canadian Box Showcase: VALD Combine Results,Lima November Delta Echo,0
Women,Pro Agility,4.992,5.044,-1,30 Jun 2025 Canadian Box Showcase: VALD Combine Results,Mike Echo Hotel Sierra,0
